いらっしゃい,
山（やま）田（だ）一（いち）郎（ろう）,はい。
ジョゼ・サントス,サントスです。
,…………………………………………………
山（やま）田（だ）一（いち）郎（ろう）,いらっしゃい。　どうぞ　お上（あ）がり　ください。
ジョゼ・サントス,失（しつ）礼（れい）します。
,…………………………………………………
山（やま）田（だ）友（とも）子（こ）,コーヒーは　いかがですか。
マリア・サントス,ありがとう　ございます。
,…………………………………………………
山（やま）田（だ）友（とも）子（こ）,どうぞ。
マリア・サントス,いただきます。
,この　スプーン、　すてきですね。
山（やま）田（だ）友（とも）子（こ）,ええ。　会（かい）社（しゃ）の　人（ひと）に　もらいました。
マリア・サントス,メキシコの　お土産（みやげ）です。
