1,りんごを　いくつ　買（か）いましたか。,5.204505,7.389459
,４（よっ）つ　買（か）いました。,7.389459,9.293219
2,８０円（えん）の　切（きっ）手（て）を　５枚（まい）と　はがきを　２枚（まい）　ください。,11.417369,15.72831
,はい、　全（ぜん）部（ぶ）で　５００円（えん）です。,15.72831,18.757129
3,富（ふ）士（じ）大（だい）学（がく）に　外（がい）国（こく）人（じん）の先（せん）生（せい）が　いますか。,21.388934,25.146614
,ない、　３人（にん）　います。　みんな　アメリカ人（じん）です。,25.146614,29.069635
4,兄弟は　何人ですか。,31.676824,33.971196
,４人（にん）です。　姉（あね）が　２人（ふたり）と　兄（あに）が　１人（ひとり）　います。,33.971196,38.392025
5,１週（しゅう）間（かん）に　何（なん）回（かい）　テニスを　しますか。,40.55302,43.925492
,２回（かい）ぐらい　します。,43.925492,45.976476
6,田（た）中（なか）さんは　どのくらい　スペイン語（ご）を　勉（べん）強（きょう）しましたか。,48.441497,51.878368
,３か月（げつ）　勉（べん）強（きょう）しました。,51.878368,54.098476
,３か月（げつ）だけですか。　上（じょう）手（ず）ですね。,54.098476,57.783113
7,大（おお）阪（さか）から　東（とう）京（きょう）まで　新（しん）幹（かん）線（せん）で　どのくらい　かかりますか。,60.105986,64.324075
,２時（じ）間（かん）半（はん）　かかります。,64.324075,67.010815
