います　[こどもが～],[子供が～],有［小孩］,3.807421,5.016621
います　[にほんに～],[日本に～],在［日本］,5.016621,6.497357
かかります,,花費（時間、金錢等）,6.497357,8.259461
やすみます　[かうしゃを],休みます　[会社を～],［向公司］請假,8.259461,10.093859
ひとつ,１つ,一、一個（用於數東西時）,10.093859,11.788916
ふたつ,２つ,二、兩個,11.788916,13.47997
みっつ,３つ,三、三個,13.47997,15.302339
よっつ,４つ,四、四個,15.302339,16.707177
いつつ,５つ,五、五個,16.707177,18.453002
むっつ,６つ,六、六個,18.453002,20.228845
ななつ,７つ,七、七個,20.228845,21.93207
やっつ,８つ,八、八個,21.93207,23.619479
ここのつ,９つ,九、九個,23.619479,25.503979
とお,１０,十、十個,25.503979,26.985988
いくつ,,多少,26.985988,28.514428
ひとり,１人,一個人,28.514428,30.128304
ふたり,２人,兩個人,30.128304,31.88544
・・・にん,・・・人,…個人、…口人,31.88544,33.274614
・・・だい,・・・台,…台（數機械、車輛等的量詞）,33.274614,34.543933
・・・まい,・・・枚,…枚、…張（數紙張、郵票等的量詞）,34.543933,36.046518
・・・かい,・・・回,…次,36.046518,37.485149
りんご,林檎,蘋果,37.485149,39.107239
みかん,蜜柑,橘子,39.107239,40.57373
サンドイッチ,,三明治,40.57373,42.76801
カレー　[ライス],,咖哩［飯］,42.76801,44.899387
アイスクリーム,,冰淇淋,44.899387,46.839415
きって,切手,郵票,46.839415,48.588568
はがき,葉書,明信片,48.588568,50.345757
ふうとう,封筒,信封,50.345757,51.93628
りょうしん,両親,父母、雙親,51.93628,53.844361
きょうだい,兄弟,兄弟姊妹,53.844361,55.794798
おに,兄,（自己的）哥哥,55.794798,57.230868
おにいさん,お兄さん,（別人的）哥哥,57.230868,58.786245
おね,姉,（自己的）姊姊,58.786245,60.609412
おねえさん,お姉さん,（別人的）姊姊,60.609412,62.389233
おとうと,弟,（自己的）弟弟,62.389233,63.941184
おとうとさん,弟さん,（別人的）弟弟,63.941184,65.946039
いもうと,妹,（自己的）妹妹,65.946039,67.666296
いもうとさん,妹さん,（別人的）妹妹,67.666296,69.558764
がいこく,外国,外國,69.558764,71.590087
りゅうがくせい,留学生,留學生,71.590087,73.149884
クラス,,班級,73.149884,74.952267
・・・じかん,・・・時間,…小時,74.952267,76.593009
・・・しゅうかん,・・・週間,…星期,76.593009,78.354263
・・・かげつ,・・・か月,…個月,78.354263,80.13441
・・・ねん,・・・年,…年,80.13441,81.481134
～　ぐらい,,～左右、大約～,81.481134,83.276206
どのくらい,,多久時間,83.276206,84.974294
ぜんぶで,全部で,一共、合計,84.974294,86.7217
みんな,,全部、大家,86.7217,88.366305
～　だけ,,只～,88.366305,90.084217
いい　[お]てんきですね。,いい　[お]天気ですね。,天氣真好啊。,92.57177,95.040991
おでかけですか。,お出かけですか。,您要外出啊？,95.040991,96.879454
ちょっと　～　まで。,,我去～一下。,96.879454,99.054132
いってらっしゃい。,行ってらっしゃい。,請慢走。（在家的人使用）,99.054132,100.811063
いって　きます。,行って　きます。,我出門了。（出門的人使用）,100.811063,102.757615
ふなびん,船便,船運,102.757615,104.562884
こうくうびん,航空便,空運,104.562884,106.408952
エアメール,,航空郵件,106.408952,108.38666
おねがいします。,お願いします。,拜託了。,108.38666,110.0954
かしこまりました。,,明白了。（服務業對客人使用的禮貌用語）,113.319091,115.254656
オーストラリア,,澳洲,115.254656,118.656024
